Order Number,Area Code (Location),Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Date,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Id,Product Type,ProductId (Product),Product,Profit,Sales,State,Total Expenses,Type
CC5771,970,970,100,140,110,240,95,1/1/2010 0:00,821,139,Major Market,Central,26,1,3,Coffee,3,Decaf Irish Cream,101,234,Colorado,38,Decaf
CC5772,309,309,100,140,100,240,95,1/1/2010 0:00,608,139,Major Market,Central,30,1,3,Coffee,3,Decaf Irish Cream,87,234,Illinois,52,Decaf
CC5773,614,614,60,90,20,150,63,1/1/2010 0:00,435,87,Major Market,Central,57,1,3,Coffee,3,Decaf Irish Cream,0,150,Ohio,87,Decaf
CC5774,720,720,80,130,80,210,72,1/1/2010 0:00,558,108,Major Market,Central,23,1,6,Espresso,6,Decaf Espresso,53,180,Colorado,55,Decaf
CC5775,630,630,260,270,180,530,228,1/1/2010 0:00,1459,228,Major Market,Central,63,1,6,Espresso,6,Decaf Espresso,140,456,Illinois,88,Decaf
CC5776,614,614,60,90,40,150,58,1/1/2010 0:00,338,72,Major Market,Central,22,1,6,Espresso,6,Decaf Espresso,16,130,Ohio,56,Decaf
CC5777,970,970,140,160,110,300,170,1/1/2010 0:00,1091,171,Major Market,Central,47,1,8,Herbal Tea,8,Chamomile,99,341,Colorado,72,Decaf
CC5778,312,312,70,120,100,190,89,1/1/2010 0:00,777,130,Major Market,Central,24,1,8,Herbal Tea,8,Chamomile,95,219,Illinois,35,Decaf
CC5779,937,937,20,50,50,70,32,1/1/2010 0:00,456,48,Major Market,Central,8,1,8,Herbal Tea,8,Chamomile,29,80,Ohio,19,Decaf
CC5780,719,719,50,80,20,130,63,1/1/2010 0:00,435,87,Major Market,Central,57,1,9,Herbal Tea,9,Lemon,0,150,Colorado,87,Decaf
CC5781,630,630,70,90,60,160,83,1/1/2010 0:00,623,107,Major Market,Central,27,1,9,Herbal Tea,9,Lemon,68,190,Illinois,39,Decaf
CC5782,740,740,20,50,50,70,32,1/1/2010 0:00,821,48,Major Market,Central,8,1,9,Herbal Tea,9,Lemon,29,80,Ohio,19,Decaf
CC5783,970,970,50,70,40,120,60,1/1/2010 0:00,336,80,Major Market,Central,19,1,10,Herbal Tea,10,Mint,33,140,Colorado,47,Decaf
CC5784,773,773,80,120,100,200,95,1/1/2010 0:00,821,139,Major Market,Central,26,1,10,Herbal Tea,10,Mint,101,234,Illinois,38,Decaf
CC5785,754,754,80,110,70,190,84,1/1/2010 0:00,500,116,Major Market,East,26,1,3,Coffee,3,Decaf Irish Cream,67,200,Florida,49,Decaf
CC5786,754,754,70,100,60,170,77,1/1/2010 0:00,432,103,Major Market,East,25,1,6,Espresso,6,Decaf Espresso,50,180,Florida,53,Decaf
CC5787,863,863,30,50,30,80,48,1/1/2010 0:00,623,62,Major Market,East,15,1,8,Herbal Tea,8,Chamomile,34,110,Florida,28,Decaf
CC5788,239,239,40,50,20,90,54,1/1/2010 0:00,312,66,Major Market,East,20,1,9,Herbal Tea,9,Lemon,13,120,Florida,53,Decaf
CC5789,339,339,40,60,30,100,58,1/1/2010 0:00,338,72,Major Market,East,22,1,9,Herbal Tea,9,Lemon,17,130,Massachusetts,55,Decaf
CC5790,607,607,180,190,100,370,245,1/1/2010 0:00,1419,238,Major Market,East,93,1,9,Herbal Tea,9,Lemon,111,483,New York,127,Decaf
CC5791,772,772,50,60,40,110,69,1/1/2010 0:00,965,81,Major Market,East,21,1,10,Herbal Tea,10,Mint,39,150,Florida,42,Decaf
CC5792,845,845,150,-10,-70,140,207,1/1/2010 0:00,965,-27,Major Market,East,64,1,10,Herbal Tea,10,Mint,-113,180,New York,86,Decaf
CC5793,325,325,100,130,100,230,83,1/1/2010 0:00,623,107,Major Market,South,27,1,3,Coffee,3,Decaf Irish Cream,68,190,Texas,39,Decaf
CC5794,956,956,40,70,60,110,54,1/1/2010 0:00,456,80,Major Market,South,15,1,6,Espresso,6,Decaf Espresso,54,134,Texas,26,Decaf
CC5795,281,281,50,80,50,130,60,1/1/2010 0:00,336,80,Major Market,South,19,1,8,Herbal Tea,8,Chamomile,33,140,Texas,47,Decaf
CC5796,254,254,50,80,50,130,57,1/1/2010 0:00,364,83,Major Market,South,18,1,9,Herbal Tea,9,Lemon,42,140,Texas,41,Decaf
CC5797,650,650,180,-40,-120,140,144,1/1/2010 0:00,862,-26,Major Market,West,47,1,3,Coffee,3,Decaf Irish Cream,-117,118,California,91,Decaf
CC5798,213,213,220,300,200,520,234,1/1/2010 0:00,1310,312,Major Market,West,77,1,6,Espresso,6,Decaf Espresso,203,546,California,109,Decaf
CC5799,510,510,80,120,100,200,95,1/1/2010 0:00,821,139,Major Market,West,26,1,8,Herbal Tea,8,Chamomile,102,234,California,37,Decaf
